temperature,energy,magnetisation,susceptibility,specific_heat
1, -0.99858, 0.999276, 0.00153903, 0.0057884
1.0202, -0.99833, 0.999147, 0.00183925, 0.00669476
1.0404, -0.99804, 0.998997, 0.00209208, 0.00741296
1.06061, -0.99773, 0.998835, 0.00244016, 0.00839221
1.08081, -0.997373, 0.99865, 0.00279488, 0.00942296
1.10101, -0.996962, 0.998435, 0.00323981, 0.0106263
1.12121, -0.996526, 0.998205, 0.00342941, 0.0109061
1.14141, -0.996025, 0.997943, 0.00410998, 0.0126799
1.16162, -0.995454, 0.997641, 0.00476147, 0.0142223
1.18182, -0.99489, 0.997341, 0.0053459, 0.015808
1.20202, -0.99423, 0.996991, 0.00599975, 0.0169283
1.22222, -0.993502, 0.996601, 0.00685384, 0.0189823
1.24242, -0.992735, 0.996187, 0.0077157, 0.0207251
1.26263, -0.991905, 0.99574, 0.00832032, 0.0219101
1.28283, -0.990942, 0.995215, 0.00933381, 0.0234035
1.30303, -0.989997, 0.994698, 0.0101643, 0.0251416
1.32323, -0.988925, 0.994111, 0.0119795, 0.0289276
1.34343, -0.987745, 0.993456, 0.0120671, 0.0280878
1.36364, -0.986545, 0.992791, 0.0139205, 0.0312899
1.38384, -0.985129, 0.991996, 0.0158853, 0.0350974
1.40404, -0.983782, 0.991237, 0.0171242, 0.0360174
1.42424, -0.982206, 0.990347, 0.0188422, 0.0387544
1.44444, -0.980596, 0.989424, 0.0209429, 0.0420493
1.46465, -0.97886, 0.988426, 0.0234656, 0.0455668
1.48485, -0.976976, 0.987334, 0.026491, 0.0487592
1.50505, -0.975065, 0.986213, 0.0266117, 0.0485126
1.52525, -0.97298, 0.984975, 0.0302087, 0.0526214
1.54545, -0.970763, 0.983659, 0.031326, 0.0532375
1.56566, -0.968355, 0.982202, 0.0371844, 0.0614126
1.58586, -0.965934, 0.980731, 0.0398435, 0.062288
1.60606, -0.963348, 0.979141, 0.0435057, 0.0652796
1.62626, -0.960578, 0.977422, 0.0472722, 0.0672726
1.64646, -0.957598, 0.975547, 0.0562689, 0.0776285
1.66667, -0.954527, 0.973608, 0.0604324, 0.0787201
1.68687, -0.951282, 0.971494, 0.0646535, 0.0819557
1.70707, -0.947845, 0.969272, 0.0705869, 0.085544
1.72727, -0.944318, 0.966947, 0.0740596, 0.0864228
1.74747, -0.940401, 0.964281, 0.0884722, 0.0947056
1.76768, -0.936493, 0.961618, 0.097731, 0.102613
1.78788, -0.932301, 0.958723, 0.10001, 0.0991396
1.80808, -0.927869, 0.955581, 0.11989, 0.111948
1.82828, -0.923304, 0.952288, 0.133334, 0.121497
1.84848, -0.918351, 0.948651, 0.147894, 0.121138
1.86869, -0.913196, 0.944849, 0.172001, 0.137171
1.88889, -0.907782, 0.940685, 0.190437, 0.137877
1.90909, -0.902069, 0.936206, 0.21688, 0.146453
1.92929, -0.896101, 0.931377, 0.24644, 0.152355
1.94949, -0.889911, 0.926219, 0.286651, 0.166699
1.9697, -0.883171, 0.920453, 0.324165, 0.168099
1.9899, -0.87607, 0.91404, 0.388871, 0.183305
2.0101, -0.869038, 0.907927, 0.450113, 0.202498
2.0303, -0.861398, 0.900621, 0.481201, 0.192147
2.05051, -0.853209, 0.892502, 0.588844, 0.206835
2.07071, -0.844469, 0.883555, 0.727726, 0.231636
2.09091, -0.835464, 0.873685, 0.845944, 0.224281
2.11111, -0.825716, 0.862946, 1.13245, 0.260066
2.13131, -0.815131, 0.849678, 1.276, 0.258084
2.15152, -0.804294, 0.83587, 1.686, 0.273216
2.17172, -0.792133, 0.817415, 2.6207, 0.306962
2.19192, -0.779451, 0.798114, 3.36257, 0.344448
2.21212, -0.76414, 0.76685, 4.86957, 0.346054
2.23232, -0.748498, 0.734287, 7.43693, 0.409136
2.25253, -0.730836, 0.683501, 24.2502, 0.486889
2.27273, -0.708448, 0.582365, 85.3314, 0.670727
2.29293, -0.683243, 0.368206, 285.821, 0.694726
2.31313, -0.661937, 0.0871245, 970.685, 0.528246
2.33333, -0.646117, 0.0770114, 407.048, 0.399995
2.35354, -0.630457, 0.0143369, 217.23, 0.350717
2.37374, -0.617915, 0.0279066, 108.915, 0.336548
2.39394, -0.605005, 0.0195885, 79.3089, 0.287875
2.41414, -0.594434, -0.0033083, 69.2734, 0.262135
2.43434, -0.583918, -0.000899933, 48.6996, 0.241947
2.45455, -0.57351, 0.00178742, 38.8496, 0.257455
2.47475, -0.56422, 0.000266286, 20.1883, 0.232424
2.49495, -0.55523, 0.00265156, 26.5612, 0.210727
2.51515, -0.546793, -0.00647473, 23.0136, 0.205206
2.53535, -0.538459, -0.00140015, 14.4838, 0.193835
2.55556, -0.530234, -0.00129055, 16.8365, 0.182497
2.57576, -0.522786, -0.000200114, 16.1259, 0.179027
2.59596, -0.515266, 0.000958415, 14.4033, 0.173119
2.61616, -0.508623, -0.000401062, 12.8916, 0.173103
2.63636, -0.501828, 0.00103545, 12.2311, 0.149035
2.65657, -0.49501, -0.00189176, 9.8343, 0.164525
2.67677, -0.488829, 0.00194678, 9.4759, 0.154407
2.69697, -0.482903, -0.00282357, 8.62783, 0.160926
2.71717, -0.476714, -0.00260456, 8.00397, 0.14487
2.73737, -0.470838, -0.000446899, 8.70472, 0.144624
2.75758, -0.46524, 0.000182882, 6.63044, 0.133945
2.77778, -0.45993, -0.00132232, 6.51074, 0.129729
2.79798, -0.454615, -0.000329295, 6.62535, 0.13159
2.81818, -0.449444, 0.000214986, 6.19866, 0.133012
2.83838, -0.444524, -0.00083845, 5.15042, 0.11803
2.85859, -0.439464, -0.000977132, 4.71179, 0.126915
2.87879, -0.434789, -0.000655792, 5.30912, 0.115571
2.89899, -0.430115, 0.000617818, 4.19459, 0.107726
2.91919, -0.425525, -0.000359619, 4.84768, 0.113369
2.93939, -0.421196, 0.000436605, 4.25042, 0.107447
2.9596, -0.416911, -0.000192352, 4.34316, 0.103088
2.9798, -0.412852, 0.000777649, 4.22342, 0.105689
3, -0.408463, -0.000131175, 3.97051, 0.0996736
