temperature,energy,magnetisation,susceptibility,specific_heat
2.79798, -0.454355, 0.00218339, 6.75693, 0.122472
2.81818, -0.449145, -5.87565e-05, 5.90835, 0.119269
2.83838, -0.444781, 0.000709473, 5.60135, 0.116641
2.85859, -0.439213, 0.000328451, 5.3536, 0.113541
2.87879, -0.435173, -0.00199284, 5.0463, 0.112601
2.89899, -0.429935, -0.00446879, 5.22196, 0.10638
2.91919, -0.425725, -0.000618042, 5.03271, 0.11128
2.93939, -0.421076, -0.000183146, 4.35305, 0.103383
2.9596, -0.41713, 0.000212443, 4.16431, 0.100291
2.9798, -0.412933, 0.00071403, 4.36009, 0.105113
3, -0.408278, 0.000293579, 3.81685, 0.101766
