temperature,energy,magnetisation,susceptibility,specific_heat
1, -0.998577, 0.999274, 0.00156352, 0.00582289
1.0202, -0.99832, 0.999141, 0.00190258, 0.00688314
1.0404, -0.998039, 0.998995, 0.00225963, 0.00794167
1.06061, -0.997732, 0.998836, 0.00250278, 0.00863413
1.08081, -0.997348, 0.998637, 0.00286922, 0.00954115
1.10101, -0.99696, 0.998431, 0.00330054, 0.0107709
1.12121, -0.996526, 0.998207, 0.00379516, 0.012131
1.14141, -0.996039, 0.997948, 0.00415719, 0.0128869
1.16162, -0.995488, 0.997661, 0.00455973, 0.0137393
1.18182, -0.994854, 0.997323, 0.00533183, 0.0156415
1.20202, -0.994218, 0.996984, 0.00604214, 0.0173109
1.22222, -0.99349, 0.996589, 0.00650309, 0.0178881
1.24242, -0.992733, 0.996185, 0.00722766, 0.0195277
1.26263, -0.991871, 0.995721, 0.00852637, 0.022357
1.28283, -0.990989, 0.995241, 0.00973257, 0.0244836
1.30303, -0.989958, 0.994678, 0.0103783, 0.0255385
1.32323, -0.988887, 0.994086, 0.011729, 0.0283079
1.34343, -0.98773, 0.993444, 0.0120927, 0.0280127
1.36364, -0.986479, 0.992755, 0.0135214, 0.0305463
1.38384, -0.985203, 0.99203, 0.0149466, 0.0321648
1.40404, -0.983691, 0.991186, 0.0172731, 0.0367094
1.42424, -0.982177, 0.990333, 0.0197686, 0.0401514
1.44444, -0.980602, 0.989424, 0.0206167, 0.0410646
1.46465, -0.978785, 0.988381, 0.0225488, 0.0436379
1.48485, -0.977072, 0.987392, 0.0250275, 0.0461015
1.50505, -0.975086, 0.986214, 0.0280418, 0.0504232
1.52525, -0.97297, 0.984971, 0.0301708, 0.0525304
1.54545, -0.970731, 0.983653, 0.0336781, 0.0576046
1.56566, -0.968455, 0.98228, 0.0356187, 0.0586191
1.58586, -0.965928, 0.980738, 0.0389666, 0.0609908
1.60606, -0.963448, 0.979193, 0.0444048, 0.0663675
1.62626, -0.96052, 0.977401, 0.0477147, 0.0693101
1.64646, -0.957664, 0.975611, 0.0554887, 0.0770013
1.66667, -0.954711, 0.973769, 0.0623874, 0.0832081
1.68687, -0.951339, 0.971568, 0.0623507, 0.0784632
1.70707, -0.947877, 0.969267, 0.0727366, 0.0865215
1.72727, -0.944079, 0.966783, 0.0746346, 0.0868032
1.74747, -0.940528, 0.964416, 0.0907715, 0.0972696
1.76768, -0.936472, 0.961573, 0.0968886, 0.101509
1.78788, -0.932204, 0.958656, 0.105935, 0.107959
1.80808, -0.927845, 0.955589, 0.125345, 0.118616
1.82828, -0.923324, 0.952255, 0.139191, 0.121028
1.84848, -0.918722, 0.948981, 0.145626, 0.125244
1.86869, -0.913298, 0.944986, 0.162582, 0.1303
1.88889, -0.907774, 0.940713, 0.179182, 0.134472
1.90909, -0.902182, 0.936227, 0.219214, 0.147076
1.92929, -0.89642, 0.931636, 0.23339, 0.148736
1.94949, -0.889904, 0.926252, 0.280214, 0.162706
1.9697, -0.883465, 0.920656, 0.330399, 0.175098
1.9899, -0.876778, 0.914903, 0.364977, 0.182158
2.0101, -0.869063, 0.907874, 0.394012, 0.176037
2.0303, -0.86164, 0.900834, 0.483342, 0.19395
2.05051, -0.853493, 0.893214, 0.568185, 0.206088
2.07071, -0.844018, 0.882882, 0.669512, 0.217658
2.09091, -0.835474, 0.873723, 0.910769, 0.242016
2.11111, -0.826115, 0.863655, 0.977041, 0.247322
2.13131, -0.81474, 0.848931, 1.3971, 0.277153
2.15152, -0.804086, 0.835204, 1.41557, 0.26672
2.17172, -0.792438, 0.819232, 2.0454, 0.305516
2.19192, -0.778238, 0.791571, 4.70213, 0.355452
2.21212, -0.764792, 0.768474, 4.66985, 0.320948
2.23232, -0.748329, 0.730046, 15.3358, 0.473911
2.25253, -0.724474, 0.6145, 82.3779, 0.609044
2.27273, -0.707727, 0.567392, 108.561, 0.677849
2.29293, -0.680179, 0.363085, 137.669, 0.616018
2.31313, -0.657633, 0.0957902, 145.633, 0.42912
2.33333, -0.644715, 0.0413833, 201.726, 0.404904
2.35354, -0.633307, -0.0357748, 158.408, 0.375106
2.37374, -0.617526, 0.0307337, 88.357, 0.29735
2.39394, -0.605432, 0.0413693, 43.5631, 0.254145
2.41414, -0.593878, -0.00327962, 57.7944, 0.24906
2.43434, -0.583423, -0.0240513, 37.2487, 0.231284
2.45455, -0.573052, 0.015592, 26.173, 0.252748
2.47475, -0.565277, 0.00813322, 41.002, 0.2198
2.49495, -0.555277, -0.0043186, 28.7636, 0.203096
2.51515, -0.546689, -0.00504769, 20.1409, 0.209561
2.53535, -0.538242, 0.00463875, 18.8193, 0.198012
2.55556, -0.530454, 0.00419226, 16.6102, 0.172679
2.57576, -0.523004, -0.0028597, 15.8974, 0.1878
2.59596, -0.516304, 0.00296346, 15.5722, 0.17349
2.61616, -0.508371, 0.00542159, 11.6327, 0.168523
2.63636, -0.502039, -0.00583915, 12.6385, 0.168861
2.65657, -0.495256, 0.00635262, 12.5567, 0.158663
2.67677, -0.488881, 0.0011075, 9.8566, 0.153293
2.69697, -0.483124, -0.00307304, 9.9464, 0.143261
2.71717, -0.476491, 0.00364815, 9.07922, 0.148775
2.73737, -0.471002, -1.02946e-05, 8.40552, 0.141235
2.75758, -0.465155, 0.002762, 7.27596, 0.132455
2.77778, -0.45966, -0.000466064, 6.911, 0.12574
