temperature,energy,magnetisation,susceptibility,specific_heat
1, -0.998563, 0.999266, 0.00172652, 0.00637725
1.0202, -0.998255, 0.999109, 0.00194514, 0.00706763
1.0404, -0.997935, 0.99894, 0.00235177, 0.00822497
1.06061, -0.997643, 0.998786, 0.00267936, 0.0090657
1.08081, -0.997224, 0.99857, 0.00300958, 0.00995708
1.10101, -0.996742, 0.99832, 0.00343588, 0.0111165
1.12121, -0.996237, 0.99806, 0.00410638, 0.0130134
1.14141, -0.995721, 0.997789, 0.00457552, 0.0142606
1.16162, -0.995172, 0.9975, 0.0050612, 0.0153246
1.18182, -0.994625, 0.997219, 0.00551671, 0.0164823
1.20202, -0.993982, 0.996862, 0.00620046, 0.0176516
1.22222, -0.99326, 0.996495, 0.0066737, 0.0191183
1.24242, -0.992396, 0.996021, 0.00775424, 0.0211957
1.26263, -0.991542, 0.995536, 0.00914403, 0.0234032
1.28283, -0.990602, 0.995013, 0.0102175, 0.0251717
1.30303, -0.989625, 0.994505, 0.0113516, 0.0278141
1.32323, -0.988555, 0.993888, 0.0123154, 0.0292768
1.34343, -0.987331, 0.993229, 0.0136725, 0.0322043
1.36364, -0.986245, 0.992633, 0.0148319, 0.0337404
1.38384, -0.985096, 0.99201, 0.016178, 0.0362363
1.40404, -0.983719, 0.991214, 0.0181966, 0.0385126
1.42424, -0.98193, 0.990219, 0.0198991, 0.0419937
1.44444, -0.980594, 0.989461, 0.0207606, 0.0423703
1.46465, -0.978911, 0.988482, 0.0231356, 0.0450349
1.48485, -0.977289, 0.987531, 0.0256001, 0.0489115
1.50505, -0.974799, 0.986122, 0.0268918, 0.0499782
1.52525, -0.972849, 0.984984, 0.0290176, 0.0524465
1.54545, -0.970706, 0.983714, 0.0314514, 0.0543527
1.56566, -0.968883, 0.982641, 0.0347902, 0.0590043
1.58586, -0.966456, 0.981258, 0.0367552, 0.0615327
1.60606, -0.963911, 0.979706, 0.0392958, 0.0640348
1.62626, -0.960891, 0.977711, 0.048149, 0.0720377
1.64646, -0.958193, 0.976167, 0.0498616, 0.0720287
1.66667, -0.954961, 0.974305, 0.0515826, 0.0751375
1.68687, -0.951982, 0.972245, 0.0619543, 0.0822284
1.70707, -0.948906, 0.970214, 0.0642875, 0.0838548
1.72727, -0.944328, 0.967253, 0.0747771, 0.0893541
1.74747, -0.941417, 0.965326, 0.0762248, 0.0904343
1.76768, -0.93626, 0.961802, 0.0871709, 0.0990976
1.78788, -0.933336, 0.959484, 0.103545, 0.10189
1.80808, -0.928742, 0.956453, 0.109784, 0.105393
1.82828, -0.924555, 0.952995, 0.135638, 0.111892
1.84848, -0.919987, 0.950326, 0.131036, 0.118245
1.86869, -0.91575, 0.947164, 0.153847, 0.126003
1.88889, -0.91012, 0.943013, 0.162472, 0.128288
1.90909, -0.903914, 0.93788, 0.202433, 0.138478
1.92929, -0.89844, 0.933513, 0.220919, 0.146402
1.94949, -0.89274, 0.929503, 0.212516, 0.148255
1.9697, -0.885276, 0.921698, 0.291972, 0.15766
1.9899, -0.877768, 0.916609, 0.298191, 0.16709
2.0101, -0.873273, 0.913586, 0.283858, 0.166108
2.0303, -0.860529, 0.897112, 0.809061, 0.210851
2.05051, -0.853846, 0.895333, 0.421777, 0.197896
2.07071, -0.845234, 0.886372, 0.53624, 0.212274
2.09091, -0.833513, 0.868805, 1.01156, 0.258853
2.11111, -0.826943, 0.866307, 0.881674, 0.239033
2.13131, -0.811477, -0.71268, 25.7826, 0.296239
2.15152, -0.801807, -0.260057, 76.116, 0.290266
2.17172, -0.78931, -0.499117, 50.0349, 0.308603
2.19192, -0.77569, -0.215185, 69.9152, 0.35814
2.21212, -0.772341, 0.539109, 41.2417, 0.301334
2.23232, -0.757349, 0.40826, 51.2458, 0.317075
2.25253, -0.741812, 0.654354, 17.4294, 0.371348
2.27273, -0.716039, 0.277945, 48.9624, 0.364986
2.29293, -0.710536, -0.176849, 54.2534, 0.384679
2.31313, -0.693635, 0.456964, 28.9737, 0.389999
2.33333, -0.679779, -0.0968255, 46.6673, 0.354073
2.35354, -0.664768, -0.0142057, 44.0115, 0.364416
2.37374, -0.647081, 0.187997, 35.066, 0.378726
2.39394, -0.637536, 0.0845, 36.481, 0.351141
2.41414, -0.617432, -0.0991094, 30.6338, 0.337408
2.43434, -0.610776, -0.0179453, 30.8796, 0.343491
2.45455, -0.591831, -0.206893, 22.1124, 0.296324
2.47475, -0.579906, 0.0140156, 23.8611, 0.292678
2.49495, -0.567786, 0.0111849, 20.9122, 0.279338
2.51515, -0.556646, 0.0112891, 19.5036, 0.269928
2.53535, -0.544331, -0.0186562, 15.9613, 0.228946
2.55556, -0.532807, 0.052974, 14.121, 0.215938
2.57576, -0.530247, 0.0383542, 14.2987, 0.213414
2.59596, -0.518081, -0.0339557, 12.2, 0.195136
2.61616, -0.510687, -0.0394687, 11.5708, 0.190748
2.63636, -0.509531, -0.0394401, 11.8312, 0.184413
2.65657, -0.500698, 0.0113568, 10.5348, 0.179206
2.67677, -0.493594, -0.0230521, 9.94182, 0.166645
2.69697, -0.486393, 0.0219661, 9.30423, 0.160311
2.71717, -0.479164, 0.0491484, 8.24194, 0.157644
2.73737, -0.472667, -0.0176016, 7.9164, 0.147119
2.75758, -0.465708, 0.00823438, 7.08931, 0.145529
2.77778, -0.461263, -0.00525781, 6.53552, 0.137483
2.79798, -0.457255, -0.0162448, 6.06347, 0.129141
2.81818, -0.45043, 0.0137083, 5.99987, 0.128919
2.83838, -0.447266, -0.00380729, 5.96362, 0.12813
2.85859, -0.442391, -0.0348568, 5.10145, 0.118778
2.87879, -0.436961, -0.0023151, 5.14821, 0.123031
2.89899, -0.42756, 0.00248958, 4.68136, 0.111072
2.91919, -0.427576, -0.00764844, 4.60472, 0.112326
2.93939, -0.420823, 0.00276823, 4.42898, 0.107954
2.9596, -0.418172, 0.00270573, 4.33419, 0.105905
2.9798, -0.409833, -0.00407813, 4.08222, 0.104742
3, -0.40743, -0.0105469, 3.6286, 0.10252
