temperature,energy,magnetisation,susceptibility,specific_heat
1, -0.998596, 0.999286, 0.0015507, 0.00582361
1.0202, -0.998346, 0.999156, 0.00183519, 0.00668601
1.0404, -0.998049, 0.999004, 0.00212415, 0.00757954
1.06061, -0.997775, 0.998861, 0.00234077, 0.00814436
1.08081, -0.997415, 0.998673, 0.00269588, 0.00907474
1.10101, -0.997027, 0.998469, 0.00316271, 0.0103897
1.12121, -0.996532, 0.998211, 0.00363927, 0.0115571
1.14141, -0.996059, 0.997962, 0.0041991, 0.0130052
1.16162, -0.995524, 0.997679, 0.00461511, 0.013857
1.18182, -0.994899, 0.997339, 0.00546659, 0.0160963
1.20202, -0.994226, 0.99698, 0.00597205, 0.0169866
1.22222, -0.993524, 0.996607, 0.00645232, 0.0175536
1.24242, -0.992762, 0.996202, 0.00725023, 0.0191167
1.26263, -0.991919, 0.995745, 0.0080663, 0.020991
1.28283, -0.990961, 0.995224, 0.00904591, 0.0227418
1.30303, -0.99002, 0.994709, 0.0108934, 0.0263131
1.32323, -0.988883, 0.994087, 0.0111349, 0.0266282
1.34343, -0.987687, 0.993421, 0.0126212, 0.0294974
1.36364, -0.986461, 0.992743, 0.014018, 0.0316506
1.38384, -0.98528, 0.99209, 0.015989, 0.0353745
1.40404, -0.983874, 0.9913, 0.0168759, 0.0358165
1.42424, -0.982312, 0.990415, 0.0188955, 0.0384087
1.44444, -0.980493, 0.989348, 0.0219584, 0.0435437
1.46465, -0.978826, 0.988416, 0.0238895, 0.0463175
1.48485, -0.976933, 0.987297, 0.0253064, 0.0474733
1.50505, -0.975062, 0.986194, 0.027929, 0.0509961
1.52525, -0.972979, 0.98497, 0.0310862, 0.0540437
1.54545, -0.970772, 0.983643, 0.0341644, 0.05742
1.56566, -0.968325, 0.982179, 0.0370967, 0.0599044
1.58586, -0.965942, 0.980719, 0.0417861, 0.0650659
1.60606, -0.963246, 0.979084, 0.0449018, 0.0683092
1.62626, -0.960707, 0.977503, 0.0479212, 0.0698522
1.64646, -0.95772, 0.975606, 0.054206, 0.0753795
1.66667, -0.954489, 0.973585, 0.0606487, 0.0796168
1.68687, -0.951397, 0.971625, 0.0630701, 0.0804532
1.70707, -0.947782, 0.969257, 0.0681721, 0.084546
1.72727, -0.944289, 0.966873, 0.0770119, 0.0905988
1.74747, -0.940382, 0.964278, 0.0875368, 0.0965847
1.76768, -0.93625, 0.961303, 0.111682, 0.105945
1.78788, -0.932308, 0.958617, 0.113698, 0.10908
1.80808, -0.927822, 0.955661, 0.116241, 0.1086
1.82828, -0.923353, 0.952277, 0.135572, 0.119874
1.84848, -0.918774, 0.949019, 0.149338, 0.127921
1.86869, -0.912799, 0.94464, 0.155034, 0.124033
1.88889, -0.90817, 0.941, 0.182355, 0.137186
1.90909, -0.902205, 0.936271, 0.211115, 0.144483
1.92929, -0.896218, 0.931592, 0.23052, 0.150954
1.94949, -0.890359, 0.926838, 0.277666, 0.165419
1.9697, -0.883798, 0.921298, 0.285884, 0.161911
1.9899, -0.875727, 0.913497, 0.376054, 0.171533
2.0101, -0.869576, 0.908696, 0.387977, 0.180352
2.0303, -0.86167, 0.900865, 0.447567, 0.185613
2.05051, -0.853113, 0.892892, 0.527761, 0.200571
